step_id,step_name,purpose,command_or_entry,primary_output
0,Old baseline protocol,Use previous isic18_pseudovideo_full split/protocol,no new command; inherited artifacts,work/isic18_pseudovideo_full/protocol/protocol_summary.json
1,Route generation,Generate b0-b6 KNN routes for train/validation/test and two SAM3 modes,scripts/run_isic18_round1_round2a_from_pvf.sh::run_routes,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/stage1_feature_knn_b0_b6/route_generation_summary.json
2,Base propagation,Evaluate base SAM3 propagation quality for b0-b6,scripts/run_isic18_round1_round2a_from_pvf.sh::run_base_propagation,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/base_*_bridge_b0_b6.tsv
3,Resize cache,Prepare 256 resized image/mask cache,scripts/run_isic18_round1_round2a_from_pvf.sh::prepare_resized_cache,work/isic18_round1_round2a_from_pseudovideo_full/isic_resized_cache_s256/summary.json
4,S2,Train Round1 S2 student on original pseudo pool,scripts/run_isic18_round1_round2a_from_pvf.sh::run_round1_students,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/students/S2/summary.json
5,S3,Train Round1 S3 student on consensus pseudo pool,scripts/run_isic18_round1_round2a_from_pvf.sh::run_round1_students,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/students/S3/summary.json
6,Audit/X3 manifest,Audit candidates and build X3 pseudo manifest,phase1_audit_tiers.py + phase1_build_x3_manifest.py,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/audit/summary.json
7,X3,Train Round1 X3 student,scripts/run_isic18_round1_round2a_from_pvf.sh::run_round1_students,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/students/X3/summary.json
8,Round1 B7 calibration,Calibrate B7 selector from X3_best and base bridges,scripts/run_isic18_round1_round2a_from_pvf.sh::calibrate_round1_b7_and_lora,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/b7_calibration/validation_all.summary.json
9,SAM3 LoRA,Train SAM3 LoRA with skin lesion category prompt,scripts/run_isic18_round1_round2a_from_pvf.sh::calibrate_round1_b7_and_lora,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/lora_weights/val_stats.json
10,Clean Round2A epoch27,"Merge epoch27 LoRA, regenerate teacher bridges, train X4",scripts/run_round2a_epoch27_gpu1.sh,work/isic18_round1_round2a_from_pseudovideo_full/round2a_fixed_knn_lora_teacher/students/X4/summary.json
11,Long-chain epoch27 test,Evaluate b0-b7 long chain for epoch27 LoRA,scripts/run_epoch27_sam3_longchain_test_gpu1.sh,work/isic18_round1_round2a_from_pseudovideo_full/round2a_epoch27_longchain_test_b0_b7/test_bridge_b0_b7.tsv
12,Bridge benefit analysis,Compare target_pooling bridge benefit before/after LoRA,analysis script/run from generated outputs,work/isic18_round1_round2a_from_pseudovideo_full/analysis/target_pooling_bridge_benefit_b0_b6/combined_summary.json
13,SAM3 direct evals,"Evaluate text-only SAM3 direct, no image prompt",scripts/eval_sam3_lora_direct_split.py with category prompt,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_*_merged*.json
14,Baselines,SynFoC and SCSAM baseline tests,work/isic18_1pct_protocol/logs/*launch.log and rerun log,work/isic18_1pct_protocol/synfoc/summary.json; work/isic18_1pct_protocol/logs/scsam_test_best_rerun_20260903_160852.log
